kernel_name,avg_us,count_per_layer,pct
"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 4>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)",28.3,2.0,8.4
"void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",9.4,2.0,2.8
triton_poi_fused_as_strided_clone_1,4.3,1.0,1.3
aiter::bf16gemm_fp32bf16_tn_64x64_splitk_clean,8.9,1.0,2.7
"void aiter::grouped_topk_opt_sort_kernel<c10::BFloat16, float __vector(4), 8, true, true, false>(c10::BFloat16*, c10::BFloat16 const*, float*, int*, unsigned long, int, int, int, int, float)",4.2,1.0,1.3
"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSortingProblemMp<int, float, int, 1, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSortingProblemMp<int, float, int, 1, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSortingProblemMp<int, float, int, 1, false, false, true> >::Kargs)",4.3,1.0,1.3
"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, int, 1, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, int, 1, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, int, 1, false, false, true> >::Kargs)",4.4,1.0,1.3
"void aiter::mxfp4_quant_moe_sort_kernel<std::bfloat16_t, opus::fp4_t, 256, 32>(opus::fp4_t*, unsigned char*, std::bfloat16_t const*, int const*, int const*, int, int, int, int, int, int, int, int, int)",7.7,1.0,2.3
moe_gemm1_0,102.1,1.0,30.5
"void aiter::mxfp4_quant_moe_sort_kernel<std::bfloat16_t, opus::fp4_t, 64, 8>(opus::fp4_t*, unsigned char*, std::bfloat16_t const*, int const*, int const*, int, int, int, int, int, int, int, int, int)",5.6,1.0,1.7
moe_gemm2_0,57.0,1.0,17.0
_ZN5aiter37dynamic_per_token_scaled_quant_kernelIDF16bDB8_Li32EEEvPT0_PfPT_PKfiPKii,4.3,1.0,1.3
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d_b_preshuffle<ck::GridwiseGemmMultiD_xdl_cshuffle_v3_b_preshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, ck::f8_fnuz_t, ck::f8_fnuz_t, float, float, ck::Tuple<float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MultiplyMultiply, (ck::tensor_operation::device::GemmSpecialization)0, 128, 16, 32, 512, 16, 16, 16, 16, 1, 1, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 8>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)1>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3_b_preshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, ck::f8_fnuz_t, ck::f8_fnuz_t, float, float, ck::Tuple<float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MultiplyMultiply, (ck::tensor_operation::device::GemmSpecialization)0, 128, 16, 32, 512, 16, 16, 16, 16, 1, 1, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<32, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 8>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t>::Argument)",11.1,1.0,3.3
triton_poi_fused_as_strided_clone_2,4.5,1.0,1.3
_ZN5aiter35fused_qk_rmsnorm_group_quant_kernelIDF16bDB8_Li128ELi16ELi8ELb0ELb0ELb0EEEvPT0_PvPT_S6_S6_PKS5_S8_S8_S8_S8_ffiiiiiiiiiiiii,4.2,1.0,1.3
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d_b_preshuffle<ck::GridwiseGemmMultiD_xdl_cshuffle_v3_b_preshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, ck::f8_fnuz_t, ck::f8_fnuz_t, float, float, ck::Tuple<float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MultiplyMultiply, (ck::tensor_operation::device::GemmSpecialization)0, 256, 16, 64, 512, 16, 16, 16, 16, 1, 1, ck::Sequence<32, 8, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<32, 8, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 16>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)0>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3_b_preshuffle<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, ck::f8_fnuz_t, ck::f8_fnuz_t, float, float, ck::Tuple<float, float>, unsigned short, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, MultiplyMultiply, (ck::tensor_operation::device::GemmSpecialization)0, 256, 16, 64, 512, 16, 16, 16, 16, 1, 1, ck::Sequence<32, 8, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<32, 8, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 16>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t, ck::f8_fnuz_t>::Argument)",7.0,1.0,2.1
_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_1_cache_modifier_CG,4.7,1.0,1.4
_ZN5aiter49fuse_qk_rope_concat_and_cache_mla_per_head_kernelIDF16bDB8_S1_LN4vllm18Fp8KVCacheDataTypeE1ELS3_1ELi8EEEvPKT_S6_S6_S6_PT0_PT1_PKlSC_S6_S6_iiiiiiiiiiiiiiPKfSE_bb,4.5,1.0,1.4
aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps,26.4,1.0,7.9
"void kn_mla_reduce_v1_ps<MlaReduceKernelV1Traits<512, 16, 1>, float, std::bfloat16_t>(MlaReduceKernelV1Params)",5.5,1.0,1.7
_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_64_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_1_cache_modifier_CG,5.8,1.0,1.7
_ZN5aiter37dynamic_per_token_scaled_quant_kernelIDF16bDB8_Li16EEEvPT0_PfPT_PKfiPKii,4.3,1.0,1.3
_ZN7ck_tile6kentryILi2ENS_12FlatmmKernelINS_33GemmSpatiallyLocalTilePartitionerINS_13TileGemmShapeINS_8sequenceIJLi32ELi64ELi512EEEENS4_IJLi1ELi4ELi1EEEENS4_IJLi16ELi16ELi128EEEELb0ELb0EEELi8ELi4EEENS_30FlatmmPipelineAGmemBGmemCRegV1INS_21FlatmmPipelineProblemIDB8_SC_fS8_NS_23TileGemmUniversalTraitsILb0ELb0ELb0ELb0ENS_13tensor_layout4gemm8RowMajorENSF_11ColumnMajorESG_Lb0ELb0ELb0ELi1ELb1ELi16EEELNS_21GemmPipelineSchedulerE0ELb1ELNS_10TailNumberE1ELNS_25amd_buffer_coherence_enumE0ELb0ESC_EENS_35UniversalFlatmmPipelineAgBgCrPolicyEEENS_16CShuffleEpilogueINS_23CShuffleEpilogueProblemISC_SC_NS_5tupleIJEEEfDF16bSS_SG_NS_12element_wise11PassThroughELi32ELi64ELi1ELi4ELi16ELi16ELi128ELb0ELi1ELb0ELi1ELb0ELi1ELb0EEEvEEEEJNS_16FlatmmKernelArgsINS_18FlatmmScalePointerILi1ELi0EfEES10_Li0EEEEEEvDpT1_,11.4,1.0,3.4
triton_poi_fused_as_strided_clone_copy__0,4.7,1.0,1.4
